"company","LS_IS_upper","LS_IS_lower","median"
"BASF",0.00534246150077269,0.999548941164986,0.502445701332879
"Bayer",0.000706534734801652,0.998493729667471,0.499600132201136
"Covestro",0.919128745257022,0.0827064787742359,0.500917612015629
"Daimler",0.985423544197243,0.0145741432910954,0.499998843744169
"DeliveryHero",0.949602203047484,0.0505413299640283,0.500071766505756
"DeutscheBank",0.902674703778985,0.0994691008534518,0.501071902316218
"EON",0.805372957141508,0.19256483980243,0.498968898471969
"HelloFresh",0.838038896533399,0.164011964705784,0.501025430619591
"Infineon",0.943764313023101,0.0581540250700169,0.500959169046559
"SAP",0.938508624884613,0.063212492689777,0.500860558787195
"Siemens",0.921711050885076,0.0798191137531246,0.5007650823191
"Vonovia",0.829016210043739,0.17555474601172,0.502285478027729
"Zalando",0.942269758417901,0.0596429712199076,0.500956364818904
