"comp","coint_v"
"Adidas",1.00063058993934
"Airbus",1.00054372641187
"Allianz",0.996073842888711
"BASF",0.999498836385463
"Bayer",0.999840355682017
"Beiersdorf",0.996759639967113
"BMW",0.999498776279357
"Brenntag",1.00193426284693
"Continental",1.00077682946597
"Covestro",1.00135142887145
"Daimler",0.999173146960197
"DeliveryHero",1.0004573853314
"DeutscheBank",0.999759685302952
"DeutscheBoerse",0.999697642584001
"DeutschePost",1.00051403687955
"DeutscheTelekom",0.995605762293965
"EON",0.995179845907066
"Fresenius",1.00005861915553
"FreseniusMedicalCare",0.999711728322241
"HeidelbergCement",1.0001061963972
"HelloFresh",1.00022938188961
"Henkel",0.999689160947745
"Infineon",1.00151621724663
"Linde",0.99863486414637
"Merck",1.0014960115015
"MTU",1.00043883944418
"MunichRe",0.999197067449628
"Porsche",1.00381273506785
"Puma",1.00085088703324
"Qiagen",1.00094962947986
"RWE",1.00062567927406
"SAP",0.997105807566625
"Sartorius",1.0026417570046
"Siemens",0.999798900375133
"Symrise",1.00151670693518
"Volkswagen",1.00217916996558
"Vonovia",0.999900448237352
"Zalando",1.00199265262417
"AMC",0.988076947249597
"GameStop",1.00059474496082
"Tesla",0.999363845318003
