"company","LS_IS_upper","LS_IS_lower","LS_unique_IS","controll_unique_IS"
"Adidas",0.997175214172726,0.00280323073394434,0.622689244147127,0.412954979870917
"Airbus",0.997098381521596,0.00340530937467483,0.891831289822316,-0.000661245858462652
"Allianz",0.997650854354399,0.00217402376952876,0.948210253125398,-0.0165321306059384
"BASF",0.976927343742215,0.0239354742011693,0.416592005848522,0.583866274047135
"Bayer",0.991402057426981,0.0113701405749354,0.866781437,-0.387684666095926
"Beiersdorf",0.996783096600236,0.00353085866704962,0.76510437469037,-3.19552639683706e-05
"BMW",0.972791483339901,0.0294526136071983,0.391626571540335,0.601877522156206
"Brenntag",0.96622285451483,0.0383263793974547,0.629272637251279,0.389761507092551
"Continental",0.963511150493214,0.0369221392993915,0.342951283813878,0.651919588410996
"Covestro",0.999997218081384,2.93017184698297e-06,0.804498592062019,-1.1334645508552
"Daimler",0.938514294724646,0.0614851561516377,0.746837391314482,0.616676801823455
"DeliveryHero",0.998755300775873,0.0013640255302078,0.73608170657212,0.302020394598279
"DeutscheBank",0.995147399523836,0.00553860612281315,0.394930302529713,1.05702737396755
"DeutscheBoerse",0.999684483125133,0.000297435760428274,0.738190409,0
"DeutschePost",0.999581035388458,0.000473232204762848,0.74070835880315,0.362505097296813
"DeutscheTelekom",0.983595539730899,0.0164894222730164,0.296064231832967,0.841191817822767
"EON",0.991131439530103,0.00891441858774975,0.592542466370077,0.334050061044216
"Fresenius",0.991290640537685,0.00846586356894948,0.86468959,0
"FreseniusMedicalCare",0.999199285130653,0.000852371124234332,0.714473942,0
"HeidelbergCement",0.99165788467916,0.00964391565675504,0.636947735303147,0.399841195874248
"HelloFresh",0.997134965952122,0.00323587275652106,0.637522084218827,0.294835033693536
"Henkel",0.993904656739018,0.00673062396468472,0.594719150401882,0.446962095730206
"Infineon",0.999867673198626,0.000153330074938072,0.780759350846802,0.256031861301806
"Linde",0.969952964248446,0.0334084997354789,NA,0
"Merck",0.999941962416311,5.516047298129e-05,0.69486787,0
"MTU",0.996364298814631,0.00425907991092076,0.878374201,0
"MunichRe",0.997173674594875,0.00250363332621121,0.929306806,0
"Porsche",0.968372405504646,0.0366978749773516,0.697636070318503,0.300347574356141
"Puma",0.952936774424585,0.047035887040753,0.495177765985629,0.746075199946604
"Qiagen",0.985893429681917,0.0243414361143331,0.658857171,0
"RWE",0.969408206812576,0.0308482736046483,0.648502382849331,0.550464436295701
"SAP",0.99682920871587,0.00352405821822817,0.629388524440703,0.444693241760494
"Sartorius",0.99763479822417,0.00216525787836276,0.733953175827786,0.248879746276443
"Siemens",0.999964135023838,3.79235023234586e-05,0.754558538752814,0.682818379453549
"Symrise",0.991730988157175,0.0097556908431485,0.479613510799827,0.596313224223683
"Volkswagen",0.959983780425494,0.0434300167538704,0.425891374361875,0.578587671955645
"Vonovia",0.96032910556972,0.0403925001028812,0.393079917688363,0.602904875551683
"Zalando",0.983701651201221,0.0192750106216785,0.833009689,0
"AMC",0.997218331681149,0.0562256231324084,0.482392661,0
"GameStop",0.999864865976684,0.000567386889943058,0.436662412,0
"Tesla",0.972524134197119,0.0913723983708305,0.899730404,0
